source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0061205,paramesonephric duct development,0.04605609920737766,True,"""The process whose specific outcome is the progression of the paramesonephric duct over time, from its formation to the mature structure. Mullerian ducts (or paramesonephric ducts) are paired ducts of the embryo that run down the lateral sides of the urogenital ridge and terminate at the mullerian eminence in the primitive urogenital sinus. In the female, they will develop to form the fallopian tubes, uterus, cervix, and the upper portion of the vagina; in the male, they are lost. These ducts are made of tissue of mesodermal origin."" [GOC:dph, GOC:yaf]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0003006', 'GO:0035295']"
GO:BP,GO:0006842,tricarboxylic acid transport,0.04605609920737766,True,"""The directed movement of tricarboxylic acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:krc]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,['GO:0046942']
GO:BP,GO:0006545,glycine biosynthetic process,0.04605609920737766,True,"""The chemical reactions and pathways resulting in the formation of glycine, aminoethanoic acid."" [GOC:go_curators, MetaCyc:GLYCINE-SYN2-PWY]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0006544', 'GO:0009070', 'GO:0170038']"
GO:BP,GO:0003206,cardiac chamber morphogenesis,0.04605609920737766,True,"""The process in which a cardiac chamber is generated and organized. A cardiac chamber is an enclosed cavity within the heart."" [GOC:mtg_heart]",106,1831,20,18452,0.010922992900054615,0.18867924528301888,query_1,"['GO:0003007', 'GO:0003205', 'GO:0009653']"
GO:BP,GO:0072107,positive regulation of ureteric bud formation,0.04605609920737766,True,"""Any process that increases the rate or extent of the developmental process pertaining to the initial formation of the ureteric bud from the Wolffian duct."" [GOC:mtg_kidney_jan10]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0060676', 'GO:0072106', 'GO:0110110', 'GO:1905278']"
GO:BP,GO:0030514,negative regulation of BMP signaling pathway,0.04605609920737766,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the BMP signaling pathway."" [GOC:go_curators]",51,1831,12,18452,0.006553795740032769,0.23529411764705882,query_1,"['GO:0030509', 'GO:0030510', 'GO:0090101', 'GO:0090288']"
GO:BP,GO:0030902,hindbrain development,0.04605609920737766,True,"""The process whose specific outcome is the progression of the hindbrain over time, from its formation to the mature structure. The hindbrain is the posterior of the three primary divisions of the developing chordate brain, or the corresponding part of the adult brain (in vertebrates, includes the cerebellum, pons, and medulla oblongata and controls the autonomic functions and equilibrium)."" [PMID:4975589, PMID:4992177]",128,1831,23,18452,0.012561441835062807,0.1796875,query_1,"['GO:0007420', 'GO:0048856']"
GO:BP,GO:0072106,regulation of ureteric bud formation,0.04605609920737766,True,"""Any process that modulates the developmental process pertaining to the initial formation of the ureteric bud from the Wolffian duct."" [GOC:mtg_kidney_jan10]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0060676', 'GO:0061217', 'GO:1905276', 'GO:2000027']"
GO:BP,GO:0097237,cellular response to toxic substance,0.04605609920737766,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a toxic stimulus."" [GOC:pr]",106,1831,20,18452,0.010922992900054615,0.18867924528301888,query_1,"['GO:0009636', 'GO:0070887']"
GO:BP,GO:0090596,sensory organ morphogenesis,0.04605609920737766,True,"""Morphogenesis of a sensory organ. A sensory organ is defined as a tissue or set of tissues that work together to receive and transmit signals from external or internal stimuli. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:kmv, ISBN:978-0199210893]",228,1831,36,18452,0.019661387220098307,0.15789473684210525,query_1,"['GO:0007423', 'GO:0009887']"
