source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0051304,chromosome separation,3.757361486568624e-05,True,"""The cell cycle process in which paired chromosomes are detached from each other. Chromosome separation begins with the release of cohesin complexes from chromosomes; in budding yeast, this includes the cleavage of cohesin complexes along the chromosome arms, followed by the separation of the centromeric regions. Chromosome separation also includes formation of chromatid axes mediated by condensins, and ends with the disentangling of inter-sister catenation catalyzed by topoisomerase II (topo II)."" [GOC:ai, GOC:lb, GOC:mah, GOC:mtg_cell_cycle, PMID:20352243]",79,1135,20,17408,0.01762114537444934,0.25316455696202533,query_1,"['GO:0007059', 'GO:0022402']"
GO:BP,GO:0033047,regulation of mitotic sister chromatid segregation,8.323904800439571e-05,True,"""Any process that modulates the frequency, rate or extent of sister chromatid segregation during mitosis."" [GOC:mah]",55,1135,16,17408,0.014096916299559472,0.2909090909090909,query_1,"['GO:0000070', 'GO:0033045']"
GO:BP,GO:0045839,negative regulation of mitotic nuclear division,0.00013471174652194068,True,"""Any process that stops, prevents or reduces the rate or extent of mitosis. Mitosis is the division of the eukaryotic cell nucleus to produce two daughter nuclei that, usually, contain the identical chromosome complement to their mother."" [GOC:dph, GOC:go_curators, GOC:tb]",57,1135,16,17408,0.014096916299559472,0.2807017543859649,query_1,"['GO:0007088', 'GO:0010948', 'GO:0045930', 'GO:0051784', 'GO:0140014']"
GO:BP,GO:0051784,negative regulation of nuclear division,0.0002129900393308896,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of nuclear division, the partitioning of the nucleus and its genetic information."" [GOC:ai]",59,1135,16,17408,0.014096916299559472,0.2711864406779661,query_1,"['GO:0000280', 'GO:0010639', 'GO:0051783']"
GO:BP,GO:0007088,regulation of mitotic nuclear division,0.00029037881844717455,True,"""Any process that modulates the frequency, rate or extent of mitosis."" [GOC:go_curators]",106,1135,22,17408,0.019383259911894272,0.20754716981132076,query_1,"['GO:0007346', 'GO:0010564', 'GO:0051783', 'GO:0140014']"
GO:BP,GO:0000070,mitotic sister chromatid segregation,0.00029037881844717455,True,"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, GOC:jl]",185,1135,31,17408,0.027312775330396475,0.16756756756756758,query_1,"['GO:0000819', 'GO:0140014', 'GO:1903047']"
GO:BP,GO:0098813,nuclear chromosome segregation,0.000489825113084889,True,"""The process in which genetic material, in the form of nuclear chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. Nuclear chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:dos]",278,1135,40,17408,0.03524229074889868,0.14388489208633093,query_1,['GO:0007059']
GO:BP,GO:0030071,regulation of mitotic metaphase/anaphase transition,0.0007253569339934995,True,"""Any process that modulates the frequency, rate or extent of the cell cycle process in which a cell progresses from metaphase to anaphase during mitosis, triggered by the activation of the anaphase promoting complex by Cdc20/Sleepy homolog which results in the degradation of Securin."" [GOC:mah]",88,1135,19,17408,0.016740088105726872,0.2159090909090909,query_1,"['GO:0007091', 'GO:1901990', 'GO:1902099']"
GO:BP,GO:1902099,regulation of metaphase/anaphase transition of cell cycle,0.0009873240676600771,True,"""Any process that modulates the frequency, rate or extent of metaphase/anaphase transition of cell cycle."" [GOC:mtg_cell_cycle, GOC:TermGenie]",90,1135,19,17408,0.016740088105726872,0.2111111111111111,query_1,"['GO:0033045', 'GO:0044784', 'GO:1901987']"
GO:BP,GO:0051783,regulation of nuclear division,0.0010105366644450298,True,"""Any process that modulates the frequency, rate or extent of nuclear division, the partitioning of the nucleus and its genetic information."" [GOC:ai]",124,1135,23,17408,0.02026431718061674,0.18548387096774194,query_1,"['GO:0000280', 'GO:0033043']"
